,classification_id,user_name,user_id,user_ip,workflow_id,workflow_name,workflow_version,created_at,gold_standard,expert,metadata,annotations,subject_data,subject_ids,Filename,plant_height,first_branch_height,branch_count
0,368205182,xanith,2367588,e63cf8de5f01470999bb,19943,test_shoot_arcitecture_101921,12.11,2021-10-19 15:18:11+00:00,,,"{""source"":""api"",""session"":""9939dd14fd3518bac58c686b214cf6ffd008f343730641cd50e51f260d50ac0f"",""viewport"":{""width"":2560,""height"":1240},""started_at"":""2021-10-19T15:18:05.152Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36"",""utc_offset"":""14400"",""finished_at"":""2021-10-19T15:18:11.700Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":627,""clientHeight"":418,""naturalWidth"":627,""naturalHeight"":418}],""subject_selection_state"":{""retired"":false,""selected_at"":""2021-10-19T15:18:05.082Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""50158""}","[{""task"":""T0"",""value"":""3"",""task_label"":""How many branches are in this picture?""}]","{""69391970"":{""retired"":null,""Filename"":""IMG_2177_small.JPG""}}",69391970,IMG_2177_small.JPG,-1.0,-1.0,-1
1,368205288,xanith,2367588,e63cf8de5f01470999bb,19943,test_shoot_arcitecture_101921,12.11,2021-10-19 15:18:38+00:00,,,"{""source"":""api"",""session"":""9939dd14fd3518bac58c686b214cf6ffd008f343730641cd50e51f260d50ac0f"",""viewport"":{""width"":2560,""height"":1240},""started_at"":""2021-10-19T15:18:15.798Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36"",""utc_offset"":""14400"",""finished_at"":""2021-10-19T15:18:38.658Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":627,""clientHeight"":418,""naturalWidth"":627,""naturalHeight"":418}],""subject_selection_state"":{""retired"":false,""selected_at"":""2021-10-19T15:18:05.082Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""50158""}","[{""task"":""T0"",""value"":""3"",""task_label"":""How many branches are in this picture?""}]","{""69388825"":{""retired"":null,""Filename"":""IMG_2170_small.JPG""}}",69388825,IMG_2170_small.JPG,-1.0,-1.0,-1
2,368205300,xanith,2367588,e63cf8de5f01470999bb,19943,test_shoot_arcitecture_101921,12.11,2021-10-19 15:18:42+00:00,,,"{""source"":""api"",""session"":""9939dd14fd3518bac58c686b214cf6ffd008f343730641cd50e51f260d50ac0f"",""viewport"":{""width"":2560,""height"":1240},""started_at"":""2021-10-19T15:18:39.628Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36"",""utc_offset"":""14400"",""finished_at"":""2021-10-19T15:18:42.424Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":627,""clientHeight"":418,""naturalWidth"":627,""naturalHeight"":418}],""subject_selection_state"":{""retired"":false,""selected_at"":""2021-10-19T15:18:05.082Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""50158""}","[{""task"":""T0"",""value"":""3"",""task_label"":""How many branches are in this picture?""}]","{""69391972"":{""retired"":null,""Filename"":""IMG_2179_small.JPG""}}",69391972,IMG_2179_small.JPG,-1.0,-1.0,-1
3,368205332,xanith,2367588,e63cf8de5f01470999bb,19943,test_shoot_arcitecture_101921,12.11,2021-10-19 15:18:50+00:00,,,"{""source"":""api"",""session"":""9939dd14fd3518bac58c686b214cf6ffd008f343730641cd50e51f260d50ac0f"",""viewport"":{""width"":2560,""height"":1240},""started_at"":""2021-10-19T15:18:43.388Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36"",""utc_offset"":""14400"",""finished_at"":""2021-10-19T15:18:50.105Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":627,""clientHeight"":418,""naturalWidth"":627,""naturalHeight"":418}],""subject_selection_state"":{""retired"":false,""selected_at"":""2021-10-19T15:18:05.082Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""50158""}","[{""task"":""T0"",""value"":""4"",""task_label"":""How many branches are in this picture?""}]","{""69391971"":{""retired"":null,""Filename"":""IMG_2178_small.JPG""}}",69391971,IMG_2178_small.JPG,-1.0,-1.0,-1
4,368205364,xanith,2367588,e63cf8de5f01470999bb,19943,test_shoot_arcitecture_101921,12.11,2021-10-19 15:18:57+00:00,,,"{""source"":""api"",""session"":""9939dd14fd3518bac58c686b214cf6ffd008f343730641cd50e51f260d50ac0f"",""viewport"":{""width"":2560,""height"":1240},""started_at"":""2021-10-19T15:18:50.852Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36"",""utc_offset"":""14400"",""finished_at"":""2021-10-19T15:18:57.457Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":627,""clientHeight"":418,""naturalWidth"":627,""naturalHeight"":418}],""subject_selection_state"":{""retired"":false,""selected_at"":""2021-10-19T15:18:05.082Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""50158""}","[{""task"":""T0"",""value"":""4"",""task_label"":""How many branches are in this picture?""}]","{""69388829"":{""retired"":null,""Filename"":""IMG_2172_small.JPG""}}",69388829,IMG_2172_small.JPG,-1.0,-1.0,-1
5,368205387,xanith,2367588,e63cf8de5f01470999bb,19943,test_shoot_arcitecture_101921,12.11,2021-10-19 15:19:04+00:00,,,"{""source"":""api"",""session"":""9939dd14fd3518bac58c686b214cf6ffd008f343730641cd50e51f260d50ac0f"",""viewport"":{""width"":2560,""height"":1240},""started_at"":""2021-10-19T15:18:58.332Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36"",""utc_offset"":""14400"",""finished_at"":""2021-10-19T15:19:04.529Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":627,""clientHeight"":418,""naturalWidth"":627,""naturalHeight"":418}],""subject_selection_state"":{""retired"":false,""selected_at"":""2021-10-19T15:18:05.082Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""50158""}","[{""task"":""T0"",""value"":""8"",""task_label"":""How many branches are in this picture?""}]","{""69391975"":{""retired"":null,""Filename"":""IMG_2175_small.JPG""}}",69391975,IMG_2175_small.JPG,-1.0,-1.0,-1
6,368205407,xanith,2367588,e63cf8de5f01470999bb,19943,test_shoot_arcitecture_101921,12.11,2021-10-19 15:19:10+00:00,,,"{""source"":""api"",""session"":""9939dd14fd3518bac58c686b214cf6ffd008f343730641cd50e51f260d50ac0f"",""viewport"":{""width"":2560,""height"":1240},""started_at"":""2021-10-19T15:19:05.151Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36"",""utc_offset"":""14400"",""finished_at"":""2021-10-19T15:19:10.161Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":627,""clientHeight"":418,""naturalWidth"":627,""naturalHeight"":418}],""subject_selection_state"":{""retired"":false,""selected_at"":""2021-10-19T15:18:05.082Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""50158""}","[{""task"":""T0"",""value"":""6"",""task_label"":""How many branches are in this picture?""}]","{""69391974"":{""retired"":null,""Filename"":""IMG_2174_small.JPG""}}",69391974,IMG_2174_small.JPG,-1.0,-1.0,-1
7,368205431,xanith,2367588,e63cf8de5f01470999bb,19943,test_shoot_arcitecture_101921,12.11,2021-10-19 15:19:15+00:00,,,"{""source"":""api"",""session"":""9939dd14fd3518bac58c686b214cf6ffd008f343730641cd50e51f260d50ac0f"",""viewport"":{""width"":2560,""height"":1240},""started_at"":""2021-10-19T15:19:10.956Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36"",""utc_offset"":""14400"",""finished_at"":""2021-10-19T15:19:15.801Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":627,""clientHeight"":418,""naturalWidth"":627,""naturalHeight"":418}],""subject_selection_state"":{""retired"":false,""selected_at"":""2021-10-19T15:18:05.082Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""50158""}","[{""task"":""T0"",""value"":""6"",""task_label"":""How many branches are in this picture?""}]","{""69391973"":{""retired"":null,""Filename"":""IMG_2173_small.JPG""}}",69391973,IMG_2173_small.JPG,-1.0,-1.0,-1
8,368205457,xanith,2367588,e63cf8de5f01470999bb,19943,test_shoot_arcitecture_101921,12.11,2021-10-19 15:19:21+00:00,,,"{""source"":""api"",""session"":""9939dd14fd3518bac58c686b214cf6ffd008f343730641cd50e51f260d50ac0f"",""viewport"":{""width"":2560,""height"":1240},""started_at"":""2021-10-19T15:19:16.476Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36"",""utc_offset"":""14400"",""finished_at"":""2021-10-19T15:19:21.049Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":627,""clientHeight"":418,""naturalWidth"":627,""naturalHeight"":418}],""subject_selection_state"":{""retired"":false,""selected_at"":""2021-10-19T15:18:05.082Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""50158""}","[{""task"":""T0"",""value"":""2"",""task_label"":""How many branches are in this picture?""}]","{""69391969"":{""retired"":null,""Filename"":""IMG_2176_small.JPG""}}",69391969,IMG_2176_small.JPG,-1.0,-1.0,-1
9,368205499,xanith,2367588,e63cf8de5f01470999bb,19943,test_shoot_arcitecture_101921,12.11,2021-10-19 15:19:32+00:00,,,"{""source"":""api"",""session"":""9939dd14fd3518bac58c686b214cf6ffd008f343730641cd50e51f260d50ac0f"",""viewport"":{""width"":2560,""height"":1240},""started_at"":""2021-10-19T15:19:21.690Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36"",""utc_offset"":""14400"",""finished_at"":""2021-10-19T15:19:32.505Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[null],""subject_selection_state"":{""retired"":false,""selected_at"":""2021-10-19T15:19:21.613Z"",""already_seen"":false,""selection_state"":""internal_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""50158""}","[{""task"":""T0"",""value"":""4"",""task_label"":""How many branches are in this picture?""}]","{""69388828"":{""retired"":null,""Filename"":""IMG_2171_small.JPG""}}",69388828,IMG_2171_small.JPG,-1.0,-1.0,-1
